# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-10 10:26:03 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01474500 Schuylkill River at Philadelphia, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01474500
#            TS   parameter     statistic     Description
#        118500       00060     00003     Discharge, cubic feet per second (Mean)
#        118501       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        118502       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        118503       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        118504       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        118505       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        118506       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        118507       00010     00001     Temperature, water, degrees Celsius (Maximum), [(2)]
#        118508       00010     00002     Temperature, water, degrees Celsius (Minimum), [(2)]
#        118509       00010     00003     Temperature, water, degrees Celsius (Mean), [(2)]
#        118510       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        118511       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        118513       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#        118514       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#        118515       00011     00001     Temperature, water, degrees Fahrenheit (Maximum)
#        118516       00011     00002     Temperature, water, degrees Fahrenheit (Minimum)
#        118517       00011     00003     Temperature, water, degrees Fahrenheit (Mean)
#        251571       00010     00003     Temperature, water, degrees Celsius (Mean)
#        251572       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        251573       00010     00002     Temperature, water, degrees Celsius (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	118500_00060_00003	118500_00060_00003_cd	118501_00095_00001	118501_00095_00001_cd	118502_00095_00002	118502_00095_00002_cd	118503_00095_00003	118503_00095_00003_cd	118504_00300_00001	118504_00300_00001_cd	118505_00300_00002	118505_00300_00002_cd	118506_00300_00003	118506_00300_00003_cd	118507_00010_00001	118507_00010_00001_cd	118508_00010_00002	118508_00010_00002_cd	118509_00010_00003	118509_00010_00003_cd	118510_00400_00001	118510_00400_00001_cd	118511_00400_00002	118511_00400_00002_cd	118513_80154_00003	118513_80154_00003_cd	118514_80155_00003	118514_80155_00003_cd	118515_00011_00001	118515_00011_00001_cd	118516_00011_00002	118516_00011_00002_cd	118517_00011_00003	118517_00011_00003_cd	251571_00010_00003	251571_00010_00003_cd	251572_00010_00001	251572_00010_00001_cd	251573_00010_00002	251573_00010_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01474500	1950-08-11	555	A																																						
USGS	01474500	1950-08-12	480	A																																						
USGS	01474500	1950-08-13	480	A																																						
USGS	01474500	1950-08-14	434	A																																						
USGS	01474500	1950-08-15	371	A																																						
USGS	01474500	1950-08-16	371	A																																						
USGS	01474500	1950-08-17	332	A																																						
USGS	01474500	1950-08-18	297	A																																						
USGS	01474500	1950-08-19	350	A																																						
USGS	01474500	1950-08-20	413	A																																						
USGS	01474500	1950-08-21	693	A																																						
USGS	01474500	1950-08-22	880	A																																						
USGS	01474500	1950-08-23	505	A																																						
USGS	01474500	1950-08-24	455	A																																						
USGS	01474500	1950-08-25	434	A																																						
USGS	01474500	1950-08-26	392	A																																						
USGS	01474500	1950-08-27	392	A																																						
USGS	01474500	1950-08-28	350	A																																						
USGS	01474500	1950-08-29	366	A																																						
USGS	01474500	1950-08-30	392	A																																						
USGS	01474500	1950-08-31	752	A																																						
USGS	01474500	1950-09-01	730	A																																						
USGS	01474500	1950-09-02	434	A																																						
USGS	01474500	1950-09-03	501	A																																						
USGS	01474500	1950-09-04	670	A																																						
USGS	01474500	1950-09-05	555	A																																						
USGS	01474500	1950-09-06	392	A																																						
USGS	01474500	1950-09-07	332	A																																						
USGS	01474500	1950-09-08	297	A																																						
USGS	01474500	1950-09-09	280	A																																						
USGS	01474500	1950-09-10	654	A																																						
USGS	01474500	1950-09-11	4860	A																																						
USGS	01474500	1950-09-12	3660	A																																						
USGS	01474500	1950-09-13	1940	A																																						
USGS	01474500	1950-09-14	1570	A																																						
USGS	01474500	1950-09-15	2080	A																																						
USGS	01474500	1950-09-16	1710	A																																						
USGS	01474500	1950-09-17	1110	A																																						
USGS	01474500	1950-09-18	874	A																																						
USGS	01474500	1950-09-19	700	A																																						
USGS	01474500	1950-09-20	640	A																																						
USGS	01474500	1950-09-21	640	A																																						
USGS	01474500	1950-09-22	640	A																																						
USGS	01474500	1950-09-23	670	A																																						
USGS	01474500	1950-09-24	580	A																																						
USGS	01474500	1950-09-25	555	A																																						
USGS	01474500	1950-09-26	480	A																																						
USGS	01474500	1950-09-27	434	A																																						
USGS	01474500	1950-09-28	413	A																																						
USGS	01474500	1950-09-29	434	A																																						
USGS	01474500	1950-09-30	413	A																																						
USGS	01474500	1950-10-01	392	A																																						
USGS	01474500	1950-10-02	371	A																																						
USGS	01474500	1950-10-03	350	A																																						
USGS	01474500	1950-10-04	371	A																																						
USGS	01474500	1950-10-05	315	A																																						
USGS	01474500	1950-10-06	297	A																																						
USGS	01474500	1950-10-07	297	A																																						
USGS	01474500	1950-10-08	315	A																																						
USGS	01474500	1950-10-09	350	A																																						
USGS	01474500	1950-10-10	644	A																																						
USGS	01474500	1950-10-11	1830	A																																						
USGS	01474500	1950-10-12	1620	A																																						
USGS	01474500	1950-10-13	1190	A																																						
USGS	01474500	1950-10-14	1150	A																																						
USGS	01474500	1950-10-15	910	A																																						
USGS	01474500	1950-10-16	766	A																																						
USGS	01474500	1950-10-17	700	A																																						
USGS	01474500	1950-10-18	640	A																																						
