# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-10 09:43:49 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01482800 Delaware River at Reedy Island Jetty, DE
# -----------------------------------------------------------------------------------
#
# Data provided for site 01482800
#            TS   parameter     statistic     Description
#        118703       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        118704       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        118705       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        118706       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        118707       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        118708       00400     00003     pH, water, unfiltered, field, standard units (Mean)
#        118709       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        118710       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        118711       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        118712       00010     00003     Temperature, water, degrees Celsius (Mean)
#        118713       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        118714       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        118715       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        214299       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        214300       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean)
#        214301       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#
# Data-value qualification codes included in this output:
#   ***  Value unavailable.
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	118703_00095_00001	118703_00095_00001_cd	118704_00095_00002	118704_00095_00002_cd	118705_00095_00003	118705_00095_00003_cd	118706_00400_00001	118706_00400_00001_cd	118707_00400_00002	118707_00400_00002_cd	118708_00400_00003	118708_00400_00003_cd	118709_00400_00008	118709_00400_00008_cd	118710_00010_00001	118710_00010_00001_cd	118711_00010_00002	118711_00010_00002_cd	118712_00010_00003	118712_00010_00003_cd	118713_00300_00001	118713_00300_00001_cd	118714_00300_00002	118714_00300_00002_cd	118715_00300_00003	118715_00300_00003_cd	214299_63680_00001	214299_63680_00001_cd	214300_63680_00003	214300_63680_00003_cd	214301_63680_00002	214301_63680_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01482800	1963-10-03	19800	A	4650	A																												
USGS	01482800	1963-10-04	19100	A	4510	A																												
USGS	01482800	1963-10-05	20300	A	4660	A																												
USGS	01482800	1963-10-06	20300	A	4480	A																												
USGS	01482800	1963-10-07	19500	A	4370	A																												
USGS	01482800	1963-10-08	19100	A	4490	A																												
USGS	01482800	1963-10-09	20400	A	4510	A																												
USGS	01482800	1963-10-10	20500	A	4700	A																												
USGS	01482800	1963-10-11	20400	A	4900	A																												
USGS	01482800	1963-10-12	19400	A	4740	A																												
USGS	01482800	1963-10-13	20200	A	4810	A																												
USGS	01482800	1963-10-14	19700	A	4810	A																												
USGS	01482800	1963-10-15	19000	A	4670	A																												
USGS	01482800	1963-10-16	19300	A	4830	A																												
USGS	01482800	1963-10-17	19000	A	4860	A																												
USGS	01482800	1963-10-18	19600	A	4860	A																												
USGS	01482800	1963-10-19	18500	A	4860	A																												
USGS	01482800	1963-10-20	19300	A	4960	A																												
USGS	01482800	1963-10-21																																
USGS	01482800	1963-10-22																																
USGS	01482800	1963-10-23																																
USGS	01482800	1963-10-24	19400	A	5190	A																												
USGS	01482800	1963-10-25	22000	A	5290	A																												
USGS	01482800	1963-10-26	21900	A	5740	A																												
USGS	01482800	1963-10-27	22500	A	5730	A																												
USGS	01482800	1963-10-28	24200	A	5860	A																												
USGS	01482800	1963-10-29	22500	A	5890	A																												
USGS	01482800	1963-10-30																																
USGS	01482800	1963-10-31	23900	A	5930	A																												
USGS	01482800	1963-11-01	24300	A	18600	A																												
USGS	01482800	1963-11-02	23800	A	18500	A																												
USGS	01482800	1963-11-03	21500	A	17200	A																												
USGS	01482800	1963-11-04	24400	A	18000	A																												
USGS	01482800	1963-11-05	23900	A	18300	A																												
USGS	01482800	1963-11-06	24200	A																														
USGS	01482800	1963-11-07	35400	A																														
USGS	01482800	1963-11-08	27100	A	18400	A																												
USGS	01482800	1963-11-09	23000	A	16900	A																												
USGS	01482800	1963-11-10	23600	A	16200	A																												
USGS	01482800	1963-11-11	23500	A	16500	A																												
USGS	01482800	1963-11-12	22200	A	16300	A																												
USGS	01482800	1963-11-13	22200	A	15500	A																												
USGS	01482800	1963-11-14	21500	A	15500	A																												
USGS	01482800	1963-11-15	19800	A	14900	A																												
USGS	01482800	1963-11-16	20400	A	13800	A																												
USGS	01482800	1963-11-17	20300	A	13900	A																												
USGS	01482800	1963-11-18	21300	A	14300	A																												
USGS	01482800	1963-11-19	20000	A	14400	A																												
USGS	01482800	1963-11-20	21900	A	14600	A																												
USGS	01482800	1963-11-21	20100	A	14000	A																												
USGS	01482800	1963-11-22	21100	A	14400	A																												
USGS	01482800	1963-11-23	21400	A	14300	A																												
USGS	01482800	1963-11-24	19000	A	12300	A																												
USGS	01482800	1963-11-25	20100	A	12800	A																												
USGS	01482800	1963-11-26	20500	A	13300	A																												
USGS	01482800	1963-11-27	19000	A	12900	A																												
USGS	01482800	1963-11-28	20000	A	12700	A																												
USGS	01482800	1963-11-29	21900	A	14600	A																												
USGS	01482800	1963-11-30	21900	A	11800	A																												
USGS	01482800	1963-12-01	16500	A	10500	A																												
